Body weight (lbs),ADG (lbs),DM Intake (lbs/day),TDN (% DM),NEm (Mcal/lb),NEg (Mcal/lb),CP (% DM),Ca (%DM),P (% DM),TDN (lbs),NEm (Mcal),NEg (Mcal),CP (lbs),Ca (grams),P (grams)
715,0.8,18.5,50,0.45,0.2,7.5,0.22,0.13,9.3,5.9,1.1,1.4,18,9
715,2.1,19.6,60,0.61,0.35,10.2,0.36,0.19,11.8,5.9,3.5,2.0,33,18
715,3.2,19.1,70,0.76,0.48,13.0,0.49,0.24,13.4,5.9,5.5,2.5,42,23
715,4.0,18.1,80,0.9,0.61,15.7,0.61,0.29,14.5,5.9,6.9,2.8,50,23
715,4.5,16.7,90,1.04,0.72,18.3,0.72,0.34,15.0,5.9,7.9,3.1,54,27
780,0.8,19.8,50,0.45,0.2,7.5,0.21,0.13,9.9,6.3,1.2,1.5,18,14
780,2.1,20.9,60,0.61,0.35,9.6,0.34,0.18,12.5,6.3,3.7,2.0,32,18
780,3.2,20.4,70,0.76,0.48,12.1,0.45,0.23,14.3,6.3,5.8,2.5,41,23
780,4.0,19.3,80,0.9,0.61,14.5,0.56,0.27,15.4,6.3,7.4,2.8,50,23
780,4.5,17.8,90,1.04,0.72,16.9,0.66,0.32,16.0,6.3,8.4,3.0,54,27
845,0.8,21.0,50,0.45,0.2,7.5,0.21,0.13,10.5,6.7,1.3,1.6,18,14
845,2.1,22.2,60,0.61,0.35,9.1,0.32,0.17,13.3,6.7,3.9,2.0,32,18
845,3.2,21.7,70,0.76,0.48,11.4,0.42,0.22,15.2,6.7,6.2,2.5,41,23
845,4.0,20.5,80,0.9,0.61,13.6,0.51,0.26,16.4,6.7,7.9,2.8,50,23
845,4.5,18.9,90,1.04,0.72,15.7,0.6,0.3,17.0,6.7,8.9,3.0,50,27
910,0.8,22.2,50,0.45,0.2,7.5,0.2,0.13,11.1,7.1,1.4,1.7,18,14
910,2.1,23.5,60,0.61,0.35,8.7,0.3,0.17,14.1,7.1,4.1,2.0,32,18
910,3.2,22.9,70,0.76,0.48,10.7,0.39,0.2,16.0,7.1,6.6,2.5,41,23
910,4.0,21.6,80,0.9,0.61,12.7,0.48,0.24,17.3,7.1,8.3,2.7,45,23
910,4.5,20.0,90,1.04,0.72,14.6,0.56,0.28,18.0,7.1,9.4,3.0,50,27
975,0.8,23.4,50,0.45,0.2,7.5,0.2,0.13,11.7,7.4,1.4,1.7,23,14
975,2.1,24.7,60,0.61,0.35,8.3,0.28,0.16,14.8,7.4,4.4,2.1,32,18
975,3.2,24.1,70,0.76,0.48,10.2,0.37,0.19,16.9,7.4,6.9,2.5,50,23
975,4.0,22.8,80,0.9,0.61,11.9,0.44,0.23,18.2,7.4,8.8,2.7,45,23
975,4.5,21.0,90,1.04,0.72,13.7,0.52,0.26,18.9,7.4,9.9,2.9,50,27
1040,0.8,24.5,50,0.45,0.2,7.5,0.19,0.13,12.3,7.8,1.5,1.8,23,14
1040,2.1,25.9,60,0.61,0.35,8.0,0.27,0.15,15.5,7.8,4.6,2.1,32,18
1040,3.2,25.3,70,0.76,0.48,9.6,0.34,0.19,17.7,7.8,7.2,2.4,41,23
1040,4.0,23.9,80,0.9,0.61,11.3,0.41,0.22,19.1,7.8,9.2,2.7,45,23
1040,4.5,22.1,90,1.04,0.72,12.9,0.48,0.25,19.9,7.8,10.4,2.9,50,27
