Weight(lbs),Peak Milk (lb/day),DM intake(lbs/day),DM intake (% of BW),TDN(% DM),NEm(Mcal/lb),CP(% DM),Ca (%DM),P (% DM), TDN (lbs),NEm (Mcal),CP (lbs),Ca (g),P (g)
900,10,21.3,2.4,56,0.53,8.8,0.24,0.16,12.0,11.4,1.9,23,16
900,15,23.3,2.6,58,0.56,9.8,0.27,0.18,13.4,13.0,2.3,29,19
900,20,25.1,2.8,59,0.58,10.6,0.30,0.19,14.9,14.7,2.7,34,22
1000,15,24.7,2.5,58,0.55,9.6,0.27,0.18,14.2,13.7,2.4,30,20
1000,20,26.6,2.7,59,0.58,10.4,0.30,0.19,15.7,15.3,2.8,36,23
1000,25,28.4,2.8,60,0.60,11.1,0.32,0.20,17.1,17.0,3.1,41,26
1100,20,28.0,2.5,59,0.57,10.1,0.29,0.19,16.4,16.0,2.8,37,24
1100,25,29.9,2.7,60,0.59,10.8,0.31,0.20,17.9,17.6,3.2,43,27
1100,30,31.7,2.9,61,0.61,11.4,0.34,0.21,19.3,19.2,3.6,48,30
1200,17.7,29.6,2.3,57,0.55,9.5,0.27,0.18,16.9,16.3,2.8,37,24
1200,25,31.3,2.6,59,0.58,10.6,0.31,0.20,18.5,18.3,3.3,44,28
1200,30,33.1,2.8,61,0.60,11.2,0.33,0.21,20.0,19.9,3.7,50,31
1300,25,32.6,2.5,59,0.58,10.4,0.31,0.20,19.3,18.9,3.4,45,29
1300,30,34.4,2.6,60,0.60,11.0,0.33,0.21,20.7,20.5,3.8,51,32
1300,35,36.3,2.8,61,0.61,11.5,0.34,0.22,22.2,22.1,4.2,57,36
1400,25,33.9,2.4,59,0.57,10.3,0.30,0.20,20.0,19.5,3.5,47,30
1400,30,35.8,2.6,60,0.59,10.8,0.32,0.21,21.4,21.1,3.9,52,33
1400,35,37.6,2.7,61,0.60,11.3,0.34,0.21,22.9,22.7,4.3,58,37
1500,25,35.2,2.3,59,0.57,10.1,0.30,0.20,20.6,20.1,3.6,48,31
1500,30,37.1,2.5,60,0.59,10.7,0.32,0.20,22.1,21.7,4.0,54,34
1500,35,38.9,2.6,61,0.60,11.2,0.34,0.21,23.5,23.4,4.3,59,38
